filename,sat_limiar,crgb,thresholdrgb,whitelvl
IMG_8766-diarrhea.JPG,0.15,(113;71;47),25,130
IMG_8775.JPG,0.18,(165;117;79),12,100
IMG_8777.JPG,0.18,(135;90;57),12,120
IMG_8780.JPG,0.17,(184;136;88),15,150
IMG_8783.JPG,0.16,(229;179;130),14,150
IMG_8784.JPG,0.20,(177;125;75),18,150
IMG_8787.JPG,0.22,(207;162;97),16,150
IMG_8789.JPG,0.25,(187;145;87),25,150
IMG_8791.JPG,0.23,(224;179;111),15,130
IMG_8792.JPG,0.23,(216;171;104),15,120
IMG_8795.JPG,0.14,(135;85;50),17,100
IMG_8798.JPG,0.30,(142;95;49),14,70
